Title,Abstract,StoreId,ArticleType,Authors,companies,copyright,documentType,entryDate,issn,language,languageOfSummary,pages,placeOfPublication,pubdate,pubtitle,year,DocumentURL,classification,classificationCodes,majorClassificationCodes,startPage,subjectClassifications,subjectTerms,FindACopy,Database
"Orphan an inspiration: Abandoned in Haiti at 2, a Big Papi fan now lights up West Harpswell at 6 - and may soon meet his hero","  With help from the office of Sen. Olympia Snowe, Bastarache applied for and received humanitarian parole for Lucien, who last week received a green card granting him permanent residency in the United States.",277329596,Newspapers,GLENN JORDAN Jenn Menendez contributed to this story,, Copyright 2006 Blethen Maine Newspapers Inc., Cover Story," Jul 16, 2008",2689-5900, English, English,," Portland, Me.","Jul 16, 2008",Portland Press Herald,2008,https://www.proquest.com/newspapers/orphan-inspiration/docview/277329596/se-2?accountid=8505,,,, A.1,," Professional baseball , Athletes , Cerebral palsy",https://zv6dg7yl8g.search.serialssolutions.com?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Anortheastnews1&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=Portland+Press+Herald&amp;rft.atitle=Orphan+an+inspiration%3A+Abandoned+in+Haiti+at+2%2C+a+Big+Papi+fan+now+lights+up+West+Harpswell+at+6+-+and+may+soon+meet+his+hero&amp;rft.au=GLENN+JORDAN+Jenn+Menendez+contributed+to+this+story&amp;rft.aulast=GLENN+JORDAN+Jenn+Menendez+contributed+to+this+story&amp;rft.aufirst=&amp;rft.date=2008-07-16&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=A.1&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=Portland+Press+Herald&amp;rft.issn=26895900&amp;rft_id=info:doi/,Global Newsstream
Member of 'Cape 10' is put on probation: James Bumpviolated a contractunderwhichhe couldhaveavoided criminal charges.,"  James Bump, 19, of Cape Elizabeth also will spend the next year without a driver's license for the traffic violation that landed him in Portland District Court on Tuesday.",277300613,Newspapers,Anonymous,, Copyright 2006 Blethen Maine Newspapers Inc., News," Jul 9, 2008",2689-5900, English, English,," Portland, Me.","Jul 9, 2008",Portland Press Herald,2008,https://www.proquest.com/newspapers/member-cape-10-is-put-on-probation/docview/277300613/se-2?accountid=8505,,,, B.2,," Drivers licenses , Contracts , Traffic violations",https://zv6dg7yl8g.search.serialssolutions.com?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Anortheastnews1&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=Portland+Press+Herald&amp;rft.atitle=Member+of+%27Cape+10%27+is+put+on+probation%3A+James+Bumpviolated+a+contractunderwhichhe+couldhaveavoided+criminal+charges.&amp;rft.au=Anonymous&amp;rft.aulast=Anonymous&amp;rft.aufirst=&amp;rft.date=2008-07-09&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=B.2&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=Portland+Press+Herald&amp;rft.issn=26895900&amp;rft_id=info:doi/,Global Newsstream
Failure to communicate Recent police shooting highlights importance of state's effort to launch Web site listing people who are on probation,"""Not only the public can access [the list] and find out if so and so is on probation, but the police officers and dispatchers can go to that Web site and run a name and see if that name pops up statewide,"" said Charles O'Roak, regional correctional administrator for the Division of Probation and Parole in the Department of Corrections. While state officials have been working on the project since well before May 12, a fatal shooting that day on the Passamaquoddy reservation at Indian Township serves to highlight the potential ramifications of not having ready access to probation information.",414362667,Newspapers,"Graettinger, Diana;OF THE NEWS STAFF",, (Copyright 2008 Bangor Daily News), News," Jun 19, 2008",0892-8738, English, English,," Bangor, Me.","Jun 19, 2008",Bangor Daily News,2008,https://www.proquest.com/newspapers/failure-communicate-recent-police-shooting/docview/414362667/se-2?accountid=8505,,,, 1,," Murders & murder attempts , Law enforcement , Probation officers",https://zv6dg7yl8g.search.serialssolutions.com?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Anortheastnews1&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=Bangor+Daily+News&amp;rft.atitle=Failure+to+communicate+Recent+police+shooting+highlights+importance+of+state%27s+effort+to+launch+Web+site+listing+people+who+are+on+probation&amp;rft.au=Graettinger%2C+Diana%3BOF+THE+NEWS+STAFF&amp;rft.aulast=Graettinger&amp;rft.aufirst=Diana&amp;rft.date=2008-06-19&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=1&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=Bangor+Daily+News&amp;rft.issn=08928738&amp;rft_id=info:doi/,Global Newsstream
Brazil native sentenced in license misdeed N.J. man given probation for driving illegal aliens to Maine to obtain identification,"BANGOR - A New Jersey man who drove two illegal aliens to Augusta to get driver's licenses because Maine did not require proof of citizenship to obtain them will not be sent to jail, a federal judge ruled Thursday.",414349162,Newspapers,"Harrison, Judy;OF THE NEWS STAFF",, (Copyright 2008 Bangor Daily News), News," Jun 13, 2008",0892-8738, English,,," Bangor, Me.","Jun 13, 2008",Bangor Daily News,2008,https://www.proquest.com/newspapers/brazil-native-sentenced-license-misdeed-n-j-man/docview/414349162/se-2?accountid=8505,,,, 4,," Immigration , Drivers licenses , Criminal sentences , Court hearings & proceedings , Citizenship , Attorneys , Noncitizens , Maine",https://zv6dg7yl8g.search.serialssolutions.com?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Anortheastnews1&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=Bangor+Daily+News&amp;rft.atitle=Brazil+native+sentenced+in+license+misdeed+N.J.+man+given+probation+for+driving+illegal+aliens+to+Maine+to+obtain+identification&amp;rft.au=Harrison%2C+Judy%3BOF+THE+NEWS+STAFF&amp;rft.aulast=Harrison&amp;rft.aufirst=Judy&amp;rft.date=2008-06-13&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=4&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=Bangor+Daily+News&amp;rft.issn=08928738&amp;rft_id=info:doi/,Global Newsstream
Retired deputy tracks sex offenders: Ronald Raymond makes sure they comply with conditions of probation or prison release.,  Havey checks to see if registered sex offenders have updated their home or work addresses and updates the database on sex offenders when one contacts her about an address change.,277252346,Newspapers,"Malloy, Meghan V",," Copyright Portland Newspapers May 25, 2008", News," May 25, 2008",2689-5900, English, English,," Portland, Me.","May 25, 2008",Portland Press Herald,2008,https://www.proquest.com/newspapers/retired-deputy-tracks-sex-offenders/docview/277252346/se-2?accountid=8505,,,, B.2,," Sex offenders , Retirement , Law enforcement , Compliance",https://zv6dg7yl8g.search.serialssolutions.com?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Anortheastnews1&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=Portland+Press+Herald&amp;rft.atitle=Retired+deputy+tracks+sex+offenders%3A+Ronald+Raymond+makes+sure+they+comply+with+conditions+of+probation+or+prison+release.&amp;rft.au=Malloy%2C+Meghan+V&amp;rft.aulast=Malloy&amp;rft.aufirst=Meghan&amp;rft.date=2008-05-25&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=B.2&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=Portland+Press+Herald&amp;rft.issn=26895900&amp;rft_id=info:doi/,Global Newsstream
Rangeley man gets probation for garage fire,"Charles L. Brown, 54, was given two years probation and ordered to make restitution of up to $17,500 for the building owned by Craig Dam of Stratton. A jail sentence of 18-months was suspended in an agreement that dropped a charge of arson and charges of driving under the influence and driving after suspension and reduced the charge to felony aggravated criminal mischief, Assistant District Attorney James Andrews said. They brought the chair outside, put snow on it and left the chair smoldering. They got back into the car but were stuck again, he said. By this time, a warden and police officer arrived and arrested Brown for driving under the influence and driving after suspension, Andrews said. Everyone left the scene.",378867426,Newspapers,"Bryant, Ann",, (c) 2008 Sun Journal, News," Mar 25, 2008",, English, English,," Lewiston, Me.","Mar 25, 2008",Sun Journal,2008,https://www.proquest.com/newspapers/rangeley-man-gets-probation-garage-fire/docview/378867426/se-2?accountid=8505,,,, B.1,," Brown, Charles L , Andrews, James",https://zv6dg7yl8g.search.serialssolutions.com?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Anortheastnews1&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=Sun+Journal&amp;rft.atitle=Rangeley+man+gets+probation+for+garage+fire&amp;rft.au=Bryant%2C+Ann&amp;rft.aulast=Bryant&amp;rft.aufirst=Ann&amp;rft.date=2008-03-25&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=B.1&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=Sun+Journal&amp;rft.issn=&amp;rft_id=info:doi/,Global Newsstream
Probation charge against St. Albans man dropped,"DOVER-FOXCROFT - A probation violation charge against a St. Albans man accused of threatening a woman in the Borestone Mountain area last fall was dismissed Friday because the district attorney, who was handling another case in an adjacent courthouse, failed to make an appearance.",414434890,Newspapers,"Bowley, Diana;OF THE NEWS STAFF",, (Copyright 2008 Bangor Daily News), News," Mar 7, 2008",0892-8738, English, English,," Bangor, Me.","Mar 7, 2008",Bangor Daily News,2008,https://www.proquest.com/newspapers/probation-charge-against-st-albans-man-dropped/docview/414434890/se-2?accountid=8505,,,, 5,," State court decisions , Trials , Cruelty to animals , District attorneys",https://zv6dg7yl8g.search.serialssolutions.com?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Anortheastnews1&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=Bangor+Daily+News&amp;rft.atitle=Probation+charge+against+St.+Albans+man+dropped&amp;rft.au=Bowley%2C+Diana%3BOF+THE+NEWS+STAFF&amp;rft.aulast=Bowley&amp;rft.aufirst=Diana&amp;rft.date=2008-03-07&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=5&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=Bangor+Daily+News&amp;rft.issn=08928738&amp;rft_id=info:doi/,Global Newsstream
Charges,"Joseph Tilton, 28, of 48 Foster Road, Auburn, probation hold, 12:30 p.m. Wednesday at the Office of Probation and Parole, Great Falls Plaza. Eric Pleau, 20, of 503 Webster St., probation hold, 2:54 p.m. Wednesday at the Office of Probation and Parole, Great Falls Plaza.Androscoggin County A car driven by Virginia R. Murch, 62, of South Paris, backed into a parked truck owned by Scott Riccio, 43, of Auburn, at 2:50 p.m. Tuesday in a lot at Hotel Road and Minot Avenue. Damage to Murch's 2002 Ford was estimated at $1,500. There was no damage to Riccio's 1988 Chevrolet.",378906051,Newspapers,,, (c) 2008 Sun Journal, NEWSPAPER," Feb 28, 2008",, English, English, B2," Lewiston, Me.","Feb 28, 2008",Sun Journal,2008,https://www.proquest.com/newspapers/charges/docview/378906051/se-2?accountid=8505,,,, B.2,," Toothaker, James Michael",https://zv6dg7yl8g.search.serialssolutions.com?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Anortheastnews1&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=Sun+Journal&amp;rft.atitle=Charges&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=2008-02-28&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=B.2&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=Sun+Journal&amp;rft.issn=&amp;rft_id=info:doi/,Global Newsstream
Forum: Funding cuts may backfire,"The cuts, $200 million to MaineCare alone, are huge, said Richard Batt, Franklin Memorial Hospital's president. DHHS, as directed by the governor, has to recommend cuts to balance the budget, said Kathy Bubar of DHHS. Bubar also described federal rule changes that would affect case management of people in child protective services, parole and probation and some special education services. Changes also would require more record keeping, taking time from client care. Batt said that unless there is congressional intervention, the federal changes will happen and went on to encourage people to contact Maine's U.S. senators and members of Congress as well as state legislators.",378895517,Newspapers,"Bryant, Ann",, (c) 2008 Sun Journal, NEWSPAPER," Feb 27, 2008",, English, English, B1," Lewiston, Me.","Feb 27, 2008",Sun Journal,2008,https://www.proquest.com/newspapers/forum-funding-cuts-may-backfire/docview/378895517/se-2?accountid=8505,,,, B.1,," Batt, Richard",https://zv6dg7yl8g.search.serialssolutions.com?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Anortheastnews1&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=Sun+Journal&amp;rft.atitle=Forum%3A+Funding+cuts+may+backfire&amp;rft.au=Bryant%2C+Ann&amp;rft.aulast=Bryant&amp;rft.aufirst=Ann&amp;rft.date=2008-02-27&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=B.1&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=Sun+Journal&amp;rft.issn=&amp;rft_id=info:doi/,Global Newsstream
Throat cutting case leads to probation,,414348501,Newspapers,"Graettinger, Diana;OF THE NEWS STAFF",, (Copyright 2008 Bangor Daily News), News," Feb 22, 2008",0892-8738, English, English,," Bangor, Me.","Feb 22, 2008",Bangor Daily News,2008,https://www.proquest.com/newspapers/throat-cutting-case-leads-probation/docview/414348501/se-2?accountid=8505,,,, 2,,,https://zv6dg7yl8g.search.serialssolutions.com?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Anortheastnews1&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=Bangor+Daily+News&amp;rft.atitle=Throat+cutting+case+leads+to+probation&amp;rft.au=Graettinger%2C+Diana%3BOF+THE+NEWS+STAFF&amp;rft.aulast=Graettinger&amp;rft.aufirst=Diana&amp;rft.date=2008-02-22&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=2&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=Bangor+Daily+News&amp;rft.issn=08928738&amp;rft_id=info:doi/,Global Newsstream
"11th District Court, Rumford 11th District Court, Rumford",These legal terms are used: waived means the person charged gave up his right to appear in court; adjudicated means guilty of a civil violation; default means a person did not appear in court and the judge entered a guilty finding in the case; a finding of parole violation means a person violated a parole condition; filed means the case is to be dismissed at the end of filing period if conditions set are abided by.,378914098,Newspapers,,, (c) 2008 Sun Journal, NEWSPAPER," Feb 8, 2008",, English, English, B6," Lewiston, Me.","Feb 8, 2008",Sun Journal,2008,https://www.proquest.com/newspapers/11th-district-court-rumford/docview/378914098/se-2?accountid=8505,,,, B.6,,,https://zv6dg7yl8g.search.serialssolutions.com?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Anortheastnews1&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=Sun+Journal&amp;rft.atitle=11th+District+Court%2C+Rumford+11th+District+Court%2C+Rumford&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=2008-02-08&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=B.6&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=Sun+Journal&amp;rft.issn=&amp;rft_id=info:doi/,Global Newsstream
Rapist returned to prison for probation violations,"Christopher Wells, 31, appeared in Hancock County Superior Court on charges that he violated his conditions of release by using cocaine, failing to seek substance abuse counseling and failing to register as a sex offender.",414353929,Newspapers,"Russell, Eric;OF THE NEWS STAFF",, (Copyright 2008 Bangor Daily News), News," Feb 1, 2008",0892-8738, English, English,," Bangor, Me.","Feb 1, 2008",Bangor Daily News,2008,https://www.proquest.com/newspapers/rapist-returned-prison-probation-violations/docview/414353929/se-2?accountid=8505,,,, 5,," Sex offenders , Probation officers , Criminal sentences , Sex crimes",https://zv6dg7yl8g.search.serialssolutions.com?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Anortheastnews1&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=Bangor+Daily+News&amp;rft.atitle=Rapist+returned+to+prison+for+probation+violations&amp;rft.au=Russell%2C+Eric%3BOF+THE+NEWS+STAFF&amp;rft.aulast=Russell&amp;rft.aufirst=Eric&amp;rft.date=2008-02-01&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=5&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=Bangor+Daily+News&amp;rft.issn=08928738&amp;rft_id=info:doi/,Global Newsstream
Charges,"Tyson McDonald, 29, of 714 Sawyer Road, Greene, on charges of driving with a suspended license and violating bail conditions, 6:26 a.m. Wednesday at Lisbon and Maple streets. Blaine Whitney, 37, of 221 Scribner Blvd., on a charge of violating probation, 8:43 a.m. Wednesday at the Office of Probation and Parole, Great Falls Plaza.Androscoggin County Dwayne Miller, 26, of 303 Bowdoinham Road, Sabattus, on a warrant charging failure to pay fines, 9:45 a.m. Wednesday at that address.",378874865,Newspapers,,, (c) 2008 Sun Journal, NEWSPAPER," Jan 31, 2008",, English, English, B2," Lewiston, Me.","Jan 31, 2008",Sun Journal,2008,https://www.proquest.com/newspapers/charges/docview/378874865/se-2?accountid=8505,,,, B.2,," Gallo, Michael",https://zv6dg7yl8g.search.serialssolutions.com?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Anortheastnews1&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=Sun+Journal&amp;rft.atitle=Charges&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=2008-01-31&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=B.2&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=Sun+Journal&amp;rft.issn=&amp;rft_id=info:doi/,Global Newsstream
"11th District Court, Rumford Court log",GLOSSARY- These legal terms are used: waived means the person charged gave up his right to appear in court; adjudicated means guilty of a civil violation; default means a person did not appear in court and the judge entered a guilty finding in the case; a finding of parole violation means a person violated a parole condition; filed means the case is to be dismissed at the end of filing period if conditions...,378898545,Newspapers,,, (c) 2008 Sun Journal, NEWSPAPER," Jan 11, 2008",, English, English, B5," Lewiston, Me.","Jan 11, 2008",Sun Journal,2008,https://www.proquest.com/newspapers/11th-district-court-rumford-log/docview/378898545/se-2?accountid=8505,,,, B.5,,,https://zv6dg7yl8g.search.serialssolutions.com?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Anortheastnews1&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=Sun+Journal&amp;rft.atitle=11th+District+Court%2C+Rumford+Court+log&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=2008-01-11&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=B.5&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=Sun+Journal&amp;rft.issn=&amp;rft_id=info:doi/,Global Newsstream
"11th District Court, Rumford Court log",GLOSSARY- These legal terms are used: waived means the person charged gave up his right to appear in court; adjudicated means guilty of a civil violation; default means a person did not appear in court and the judge entered a guilty finding in the case; a finding of parole violation means a person violated a parole condition; filed means the case is to be dismissed at the end of filing period if conditions set are abided by.,378889254,Newspapers,,, (c) 2008 Sun Journal, NEWSPAPER," Jan 8, 2008",, English, English, B4," Lewiston, Me.","Jan 8, 2008",Sun Journal,2008,https://www.proquest.com/newspapers/11th-district-court-rumford-log/docview/378889254/se-2?accountid=8505,,,, B.4,,,https://zv6dg7yl8g.search.serialssolutions.com?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Anortheastnews1&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=Sun+Journal&amp;rft.atitle=11th+District+Court%2C+Rumford+Court+log&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=2008-01-08&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=B.4&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=Sun+Journal&amp;rft.issn=&amp;rft_id=info:doi/,Global Newsstream
Probation revocation puts man in prison,"The court determined [Joseph Ryan Cox] violated the terms of his probation by taking $2,300 from his great-grandmother, and by violating other conditions. Justice Carl O. Bradford on Thursday then ordered Cox to serve three years in prison.",378879094,Newspapers,,, (c) 2007 Sun Journal, NEWSPAPER," Dec 28, 2007",, English, English, B1," Lewiston, Me.","Dec 28, 2007",Sun Journal,2007,https://www.proquest.com/newspapers/probation-revocation-puts-man-prison/docview/378879094/se-2?accountid=8505,,,, B.1,," Cox, Joseph",https://zv6dg7yl8g.search.serialssolutions.com?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Anortheastnews1&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=Sun+Journal&amp;rft.atitle=Probation+revocation+puts+man+in+prison&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=2007-12-28&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=B.1&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=Sun+Journal&amp;rft.issn=&amp;rft_id=info:doi/,Global Newsstream
Charges,"Krystal Westleigh, 25, of 91 Pine St., Lewiston, arrested by the Office of Probation and Parole on a warrant charging unlawful drug trafficking and negotiating a worthless instrument, 7:05 p.m. Friday on the Longley Bridge.",378868735,Newspapers,,, (c) 2007 Sun Journal, NEWSPAPER," Dec 22, 2007",, English, English, B3," Lewiston, Me.","Dec 22, 2007",Sun Journal,2007,https://www.proquest.com/newspapers/charges/docview/378868735/se-2?accountid=8505,,,, B.3,," Surawski, Eric",https://zv6dg7yl8g.search.serialssolutions.com?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Anortheastnews1&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=Sun+Journal&amp;rft.atitle=Charges&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=2007-12-22&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=B.3&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=Sun+Journal&amp;rft.issn=&amp;rft_id=info:doi/,Global Newsstream
Police log,"Adam Fister, 33, of 35 Seventh St., Auburn, arrested by Lisbon Falls police on a charge of driving with a suspended registration, 2:05 a.m. Thursday on Route 196. Troy Whitney, 24, of 4 Stevens Mills Trailer Park, Auburn, on a probation hold, 9:30 a.m. Thursday at the Office of Probation and Parole, Great Falls Plaza in Auburn.",378881209,Newspapers,,, (c) 2007 Sun Journal, NEWSPAPER," Dec 21, 2007",, English, English, B2," Lewiston, Me.","Dec 21, 2007",Sun Journal,2007,https://www.proquest.com/newspapers/police-log/docview/378881209/se-2?accountid=8505,,,, B.2,," Vermette, Brandon",https://zv6dg7yl8g.search.serialssolutions.com?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Anortheastnews1&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=Sun+Journal&amp;rft.atitle=Police+log&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=2007-12-21&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=B.2&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=Sun+Journal&amp;rft.issn=&amp;rft_id=info:doi/,Global Newsstream
"8th District Court, Lewiston",GLOSSARY - These legal terms are used: waived means the person charged gave up the right to appear in court; adjudicated means guilty of a civil violation; default means a person did not appear in court and the judge entered a guilty finding in the case; a finding of parole violation means a person violated a parole condition; filed means the case is to be dismissed...,378877834,Newspapers,,, (c) 2007 Sun Journal, NEWSPAPER," Dec 14, 2007",, English, English, C17," Lewiston, Me.","Dec 14, 2007",Sun Journal,2007,https://www.proquest.com/newspapers/8th-district-court-lewiston/docview/378877834/se-2?accountid=8505,,,, C.17,,,https://zv6dg7yl8g.search.serialssolutions.com?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Anortheastnews1&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=Sun+Journal&amp;rft.atitle=8th+District+Court%2C+Lewiston&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=2007-12-14&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=C.17&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=Sun+Journal&amp;rft.issn=&amp;rft_id=info:doi/,Global Newsstream
"11th District Court, Rumford","GLOSSARY - These legal terms are used: waived means the person charged gave up his right to appear in court; adjudicated means guilty of a civil violation; default means a person did not appear in court and the judge entered a guilty finding in the case; a finding of parole violation means a person violated a parole condition; filed means the case is to be dismissed at the end of filing period if conditions set are abided by. Court documents no longer reflect a person's plea or their street addresses. The dates in the log are the dates of the original charge. Mark W. Hindman, 39, Bethel, operating under the influence and possession of marijuana on Oct. 6, found guilty on first charge, fined $500 and license suspended 90 days; second charge dismissed. Jeffrey Prevost, 27, [Rumford], operating under the influence, possession of marijuana and sale and use of drug paraphernalia on Sept. 20, found guilty on first charge, fined $500, sentenced to 48 days and license suspended 90 days; offense committed on second charge, fined $350; third charge dismissed.",378767977,Newspapers,,, (c) 2007 Sun Journal, NEWSPAPER," Dec 14, 2007",, English, English, C17," Lewiston, Me.","Dec 14, 2007",Sun Journal,2007,https://www.proquest.com/newspapers/11th-district-court-rumford/docview/378767977/se-2?accountid=8505,,,, C.17,,,https://zv6dg7yl8g.search.serialssolutions.com?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Anortheastnews1&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=Sun+Journal&amp;rft.atitle=11th+District+Court%2C+Rumford&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=2007-12-14&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=C.17&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=Sun+Journal&amp;rft.issn=&amp;rft_id=info:doi/,Global Newsstream
